,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
38278,5210,jet,-0.293,0.878,1034.72,83.37,40.0,0.0,0.12
38279,5210,jet,-0.913,-1.724,1009.96,33.65,7.0,0.0,17.31
38280,5210,jet,-1.288,2.557,986.5,63.47,21.0,0.0,0.26
38281,5210,jet,1.954,2.237,238.95,28.04,17.0,1.0,0.5
38282,5210,jet,-0.006,2.277,57.18,13.94,10.0,0.0,0.43
38283,5210,jet,1.31,-2.263,56.65,12.27,9.0,0.0,3.05
38284,5210,jet,-3.074,1.321,51.28,0.0,0.0,0.0,0.0
38285,5210,jet,-0.894,-2.298,29.1,3.68,3.0,0.0,9.17
38286,5210,MET,0.0,0.587,142.14,0.0,0.0,0.0,0.0
38287,5211,electron,0.873,-1.601,17.64,0.0,1.0,0.0,0.0
38288,5211,jet,0.638,1.293,2466.45,73.61,14.0,0.0,0.83
38289,5211,jet,-1.033,-2.031,2010.43,186.32,31.0,0.0,0.53
38290,5211,jet,0.859,-0.756,822.26,130.25,25.0,0.0,0.68
38291,5211,jet,-1.262,2.324,754.33,45.8,17.0,0.0,5.36
38292,5211,MET,0.0,-1.345,530.33,0.0,0.0,0.0,0.0
38293,5212,jet,-0.62,-2.381,3373.34,89.25,16.0,0.0,0.0
38294,5212,jet,0.289,1.006,1702.98,97.17,42.0,0.0,0.02
38295,5212,jet,-0.158,1.147,799.61,68.47,41.0,0.0,2.45
38296,5212,jet,0.941,-0.595,748.25,33.68,12.0,0.0,0.47
38297,5212,jet,-2.106,-0.45,49.23,4.18,4.0,0.0,0.2
38298,5212,jet,-0.531,-0.52,29.85,6.87,7.0,0.0,0.73
38299,5212,MET,0.0,0.885,800.87,0.0,0.0,0.0,0.0
38300,5213,tau,0.364,-2.822,1007.47,72.24,1.0,0.0,0.0
38301,5213,jet,-0.566,1.499,2364.26,257.02,33.0,0.0,1.64
38302,5213,jet,0.449,-0.65,2297.91,115.43,25.0,1.0,3.8
38303,5213,jet,-0.152,2.417,1658.92,130.36,44.0,0.0,6.71
38304,5213,jet,-0.348,-1.159,1522.33,112.52,48.0,0.0,0.42
38305,5213,jet,0.446,0.504,61.65,8.95,8.0,0.0,0.34
38306,5213,MET,0.0,-2.438,659.93,0.0,0.0,0.0,0.0
38307,5214,jet,0.212,-3.044,1240.14,74.48,25.0,0.0,0.21
38308,5214,jet,-1.564,1.014,1138.66,40.8,18.0,0.0,0.45
38309,5214,jet,-1.099,-0.553,705.21,114.13,35.0,0.0,1.71
38310,5214,jet,2.661,-2.295,470.78,34.01,1.0,0.0,6.36
38311,5214,jet,-1.721,-0.467,44.76,9.68,9.0,0.0,0.9
38312,5214,jet,0.421,-0.258,40.13,9.76,7.0,0.0,0.13
38313,5214,jet,1.641,-0.249,35.16,7.34,7.0,0.0,999.9
38314,5214,jet,-0.505,2.303,29.85,6.59,8.0,0.0,0.35
38315,5214,MET,0.0,-0.479,272.44,0.0,0.0,0.0,0.0
38316,5215,jet,0.586,-1.658,2429.69,189.94,37.0,0.0,0.4
38317,5215,jet,0.021,1.35,1942.52,24.62,9.0,0.0,0.14
38318,5215,jet,0.658,3.003,1713.25,100.72,32.0,0.0,0.63
38319,5215,jet,-0.922,-0.063,1557.86,81.16,23.0,0.0,0.18
38320,5215,jet,0.568,2.406,187.63,21.36,15.0,0.0,0.89
38321,5215,jet,-0.058,0.182,129.9,22.85,22.0,0.0,1.25
38322,5215,jet,-2.07,1.829,34.64,4.82,5.0,0.0,1.57
38323,5215,jet,1.005,-3.037,23.61,3.23,30.0,0.0,0.97
38324,5215,MET,0.0,1.826,224.44,0.0,0.0,0.0,0.0
38325,5216,jet,0.102,-2.22,3401.76,93.02,32.0,0.0,0.03
38326,5216,jet,-0.23,-2.516,787.19,24.94,32.0,0.0,0.47
38327,5216,jet,-0.732,2.094,254.15,31.9,15.0,0.0,1.74
38328,5216,jet,0.312,0.982,247.93,39.35,28.0,0.0,0.68
38329,5216,MET,0.0,0.787,3824.93,0.0,0.0,0.0,0.0
38330,5217,jet,1.457,-0.695,1206.96,60.72,25.0,1.0,0.11
